从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
电力系统远动及调度自动化技术的应用研究	电力系统远动及调度自动化技术的应用研究电力系统,远动调度,自动化技术,信道编码
多媒体课堂教学美育初探	多媒体课堂教学美育初探
富营养化中溶解氧	河流水体富营养化与溶解氧的昼夜变化特点研究水体富营养化,溶解氧,光合作用,呼吸作用,昼夜变化
泌尿系统X射线特检防护装置的研制	泌尿系统X射线特检防护装置的研制泌尿系统,X射线特检,防护装置
胎儿脏器细胞移植	胎儿脏器细胞移植治疗肿瘤临床应用研究的进展
早产儿颅内出血的危险因素	早产儿颅内出血的危险因素及预防进展婴儿,早产,颅内出血,危险因素
妊娠期糖尿病患者的动态血糖变化及特异性治疗效果分析	妊娠期糖尿病患者的动态血糖变化及特异性治疗效果分析妊娠期糖尿病;动态血糖监测系统;治疗效果;妊娠结局
磁共振IDEAL腰椎	不同场强下磁共振IDEAL-IQ技术对腰椎椎体脂肪含量定量对比分析腰椎,骨髓疾病,磁共振成像
数字化技术在正畸中的应用	三维数字化技术在正畸诊断和治疗设计中的应用正畸学,诊断,口腔,正畸矫正器设计,三维数字化技术
老年患者前列腺增生留置尿管方法	前列腺增生患者留置尿管操作中存在问题及处理方法探讨前列腺增生,留置尿管,存在问题,处理
胰岛素样生长因子1（IGF-1）通过抑制RUNX2促进骨折愈合的机制研究	胰岛素样生长因子1(IGF-1)通过抑制RUNX2促进骨折愈合的机制研究骨折愈合IGF-1,RUNX2,成骨细胞,破骨细胞
药物与临床 甲硝唑联合保妇康	保妇康栓联合头孢曲松钠、甲硝唑治疗慢性盆腔炎的临床效果观察慢性盆腔炎,保妇康栓,头孢曲松钠,甲硝唑,效果
磷石膏在建筑的应用	磷石膏在建筑工程中的应用磷石膏,资源化,空腔模盒
环境保护与经济发展	关于农村经济发展与环境保护的分析农村经济发展,环境保护,可持续发展
pest 海底捞	——基于海底捞模式海底捞,竞争战略,差异化
建行个人理财业务	建行二级分行发展个人理财业务的几点思考个人理财业务,二级分行
	Influence of lanthanum as additive and post-treatment on the corrosion protection properties and surface morphology of mild steel chemically treated by a cerium conversion coating
金黄色葡萄球菌感染临床实践指南	美国感染病学会治疗成人及儿童甲氧西林耐药金黄色葡萄球菌感染临床实践指南甲氧西林耐药,金黄色葡萄球菌,指南,美国感染病学会
小儿重症肺炎 NGAL	中性粒细胞明胶酶相关脂质运载蛋白在重症肺炎合并脓毒症患儿中的表达及临床价值重症肺炎,脓毒症,中性粒细胞明胶酶相关脂质运载蛋白,儿童,危重评分
网络同人小说及其社会文化心理论析	网络同人小说及其社会文化心理论析网络同人小说;社会文化心理;后现代主义
多酸合成及表征 Dawson 结构	两个新的Dowson结构硫钼多酸盐合成,表征以及催化性质硫钼酸盐,晶体结构,水热合成,催化
慢性酒精性脑综合征	针药并用治疗慢性酒精中毒性脑病合并戒断综合征1例慢性酒精中毒性脑病,戒断综合征,针刺
艾滋病流行现状分析及干预效果评价	艾滋病流行现状分析及干预效果评价艾滋病,流行现状,健康教育,行为干预
泊车 传感器 障碍检测	一种泊车系统超声波障碍物检测方法超声波,障碍物检测,两点定位,自动泊车
生活方式对高校大学生健康状况的影响与分析	生活方式对高校大学生健康状况的影响与分析年轻人,学生,生活方式,健康状况
臂丛神经损伤手术	臂丛神经损伤的早期诊断与手术治疗臂丛,神经损伤,早期诊断,治疗
中国医药导报 心理韧性	医学研究生提升心理韧性应对科研压力的探索与思考医学研究生,科研压力,心理韧性,心理健康
新药制剂研发思路	关于我省医院中药制剂研发的思考与建议中药制剂,研发,中医药发展
新时代高校思想政治工作探微	新时代高校思想政治工作探微新时代,高校思想政治工作,现状,对策
激光散斑测量方法	激光散斑位移测量方法研究激光散斑,位移测量,数字图像处理
杨秀丽张店区中医院	冠心病心律失常采取综合护理对提高其生活质量的作用分析冠心病,心律失常,综合护理,生活质量
亚临床周围神经病变 危险因素	糖尿病亚临床周围神经病变危险因素分析
钢结构和钢-混凝土组合桥梁技术要求	钢结构和钢-混凝土组合桥梁技术要求钢结构,招标,投标,制造,安装,养护,质量管理
质谱流式细胞术原理	质谱流式技术用于单细胞检测质谱流式技术,金属元素标记,飞行时间质谱,高维单细胞数据处理
多糖 糖尿病 胰腺	甜玉米芯多糖对糖尿病大鼠的降血糖作用糖尿病,甜玉米芯多糖,降血糖,血脂水平,胰腺组织
牙髓 TLR4 炎	褪黑素对牙髓炎TLR4、NF-κB调节机制的相关研究褪黑素;牙髓炎;天然免疫系统;调节机制;药物干预;动物模型
腹腔镜结直肠癌根治术对结直肠癌患者胃肠功能和生存质量的影响	腹腔镜结直肠癌根治术对结直肠癌患者胃肠功能和生存质量的影响腹腔镜,结直肠癌根治术,胃肠功能,免疫功能,生存质量
0.1%溴芬酸钠滴眼液在SMILE术后的早期疗效	0.1%溴芬酸钠滴眼液在SMILE术后的早期疗效观察
培门冬酶治疗急性淋巴细胞白血病和恶性淋巴瘤中国专家共识	培门冬酶治疗急性淋巴细胞白血病和恶性淋巴瘤中国专家共识
服装设计创意说明	论创意服装设计的灵感及实现方法创意,服装,设计,灵感,实现
基于机械比能理论的钻头磨损监测新方法	基于机械比能理论的钻头磨损监测新方法机械比能,钻速方程,抗压强度,钻头磨损,监测方法
小学生能力提升与心理健康关系及其干预研究	高年级小学生的积极情绪及其对自我效能感的提升研究——基于“积极情绪日记”的干预方法小学生;积极情绪;自我效能感;间接干预
智能船舶吃水深度测量系统	煤炭港航交重智能计量系统研究煤炭航运,交重计量,图像采集,吃水识别
科技档案的利用与保密	浅谈如何化解科技档案保密与利用的矛盾科技档案,管理,保密,利用
颅内出血早产儿脑血流动力学早期监测	颅内出血早产儿脑血流动力学早期监测的临床价值颅内出血,大脑中动脉,脑血流速度,婴儿,早产
桥梁安全监测系统	基于物联网的桥梁安全监测系统研究与设计桥梁安全监测系统;设计模式;远程控制;物联网技术
护生老年护理择业动机问卷的编制	护生老年护理择业动机问卷的编制
基于crispr/cas9的大肠杆菌基因编辑方法研究	CRISPR/Cas9介导的谷氨酸棒杆菌基因组编辑方法的建立及应用谷氨酸棒杆菌;CRISPR/Cas9技术;基因组编辑;精氨酸;戊糖
应用张力-应力法则牵张再生治疗皮肤缺损	应用张力-应力法则牵张再生治疗皮肤缺损皮肤缺损;皮肤牵张;张力-应力法则;临床疗效
小麦品种真实性鉴定	江苏稻麦品种真实性SSR标记鉴定研究稻麦;品种鉴定;真实性鉴定;SSR标记;遗传多样性;DNA指纹
传热对空气标准Diesel循环功和效率特性的影响	传热对空气标准DIESEL循环功和效率特性的影响有限时间热力学,DIESEL,循环,最优性能
思想政治教育环境渗透法的唯物史观解读及实践	思想政治教育环境渗透法的唯物史观解读及实践思想政治教育,环境渗透法,唯物史观,主体能动性
行政诉讼司法变更权的新发展	行政诉讼司法变更权的新发展——兼评《行政诉讼法》第77条之规定行政诉讼,司法变更,新发展,明显不当
基于百度地图API的旅游地理信息系统开发	基于百度地图API的旅游地理信息系统开发百度地图API,WebGIS,地理信息系统,旅游资源
不文明旅游行为产生的原因及对策研究	不文明旅游行为产生的原因及对策研究旅游行为,文化差异,道德弱化
能力验证 z比分数	Z比分数在实验室能力验证检测中的运用Z比分数,能力验证检测,实验室
绿色农业种植技术推广问题	绿色农业种植技术推广中存在的问题及应对策略分析绿色农业种植技术,推广,问题,应对策略
Research on Enterprise Life Cycle Safety Management System	Development and Application of Comprehensive Intelligent Technology of Power Grid Security Supervision System
精准选点 一课一得	精准选点一课一得——以《带上她的眼睛》教学为例
（脑机交互）and认知科学	“智能+”教育场域中的认知计算与教育应用研究认知计算,人工智能,认知科学,认知计算模型,脑机接口,人机交互,学习支持服务
吸烟行为 糖尿病	吸烟与糖尿病的关系及相关机制研究糖尿病;发病机制;吸烟行为;胰岛细胞;信号转导通路;烟雾提取物
设施设备管理系统	长江水文基础设施设备管理系统开发需求分析设施设备,管理系统,需求分析,长江水文
徐飞重庆第二师范学院	我国外语语种规划研究述评外语教育政策,语种规划,文献研究
护理干预对创伤骨科患者下肢深静脉血栓形成(DVT)的影响	护理干预对骨科手术患者血液流变学、凝血功能及下肢深静脉血栓形成的影响护理干预,骨科手术患者,血液流变学、凝血功能,肢深静脉血栓
大东湖 生态水网	大东湖生态水网构建技术及应用大东湖,生态水网,优化调度
基于数字图像处理的破片速度参数测量	基于数字图像处理的破片速度参数测量数字图像处理,终点弹道学,脉冲X射线图像,图像分割
雅各布森诗歌翻译	浅论诗歌的可译性问题-读《翻译的语言学问题》诗歌功能,可译性,语言活动,雅各布森,二十世纪,翻译,结构主义,认知功能,语言学家,文学作品
LCL全桥PWM整流器	PWM整流器高频谐波抑制技术及应用研究PWM整流器;高频谐波;PI控制器;LC滤波;电流抑制
碳中和 碳达峰 政策	习近平:中国力争碳排放2030年前达到峰值,努力争取2060年前实现碳中和
溶组织阿米巴致病	溶组织内阿米巴致病因子的研究进展溶组织内阿米巴,致病因子,凝集素,阿米巴穿孔素,半胱氨酸蛋白酶
肺血栓栓塞症 指南	2018版中国《肺血栓栓塞症诊治与预防指南》解读之二:诊断策略肺血栓栓塞症,指南,诊断
静态法测定无机盐水溶液饱和蒸气压的研究	静态法测定无机盐水溶液饱和蒸气压的研究饱和蒸气压,无机盐水溶液,静态法
旅游可持续发展的作用	论旅游规划在旅游可持续发展中的作用旅游可持续发展,旅游规划,作用
神经外科患者术后颅内感染病原菌与耐药分析	神经外科患者术后颅内感染病原菌特点与耐药性分析神经外科,术后,颅内感染,脑脊液,病原菌,耐药性
小学生课外阅读的问题	低年级小学生语文课外阅读存在的问题与指导策略小学语文,阅读教学,课外阅读
火焰下液化气储罐	火焰环境下液化气储罐热响应数值分析研究进展
维生素D 慢性牙周炎治疗	维生素D轴:补肾治疗慢性牙周炎的新靶点维生素D轴,补肾,慢性牙周炎
科教导刊 徐晴晴	基于OBE理念的《设备管理与可靠性》课程教学改革与实践翻转课堂,案例分析式教学,设备管理,可靠性
阈下微脉冲激光在糖尿病黄斑水肿中作用机制的研究进展	阈下微脉冲激光在糖尿病黄斑水肿中作用机制的研究进展糖尿病视网膜病变,黄斑水肿,激光凝固术,综述
